osmid,name,amenity,city,district,street,housenumber,lat,lon
n305681769,Music Hall,restaurant,Минск,Центральный район,проспект Независимости,19,n305681769,53.899849
n3575094378,QuickCafe,cafe,Минск,Заводской район,,,n3575094378,53.8523726
n4035101928,Аптека 18,pharmacy,Минск,Ленинский район,,,n4035101928,53.8661174
n281727413,Сказочный замок,cafe,Минск,Первомайский район,,,n281727413,53.9227992
w88197413,д/с №525,kindergarten,Минск,Московский район,,,w88197413,53.8570327334975
n305683509,Чайна Таун,cafe,Минск,Советский район,улица Кульман,11,n305683509,53.9216933
n3068188084,ButterBro,cafe,Минск,Партизанский район,Жасминовая улица,3Б,n3068188084,53.9266156
n4328318408,,cafe,Минск,Партизанский район,,,n4328318408,53.9051541
n4308972807,Гараж,cafe,Минск,Московский район,,,n4308972807,53.8749052
n3390820525,Батуми,restaurant,Минск,Центральный район,,,n3390820525,53.9380591
w354591650,ДЦРР №276,kindergarten,Минск,Заводской район,,,w354591650,53.845360568904
n306066213,Юбилейный,restaurant,Минск,Центральный район,,,n306066213,53.9112682
n952749786,Italia,fast_food,Минск,Советский район,,,n952749786,53.9196896
n305683526,Колесо,cafe,Минск,Советский район,,,n305683526,53.9215
w25325766,МакДональдс,fast_food,Минск,Советский район,улица Сурганова,63,w25325766,53.9300817390521
w25388894,,cafe,Минск,Октябрьский район,Осиповичская улица,16,w25388894,53.8498967925547
w336594925,д/с №498,kindergarten,Минск,Первомайский район,,,w336594925,53.9518569571543
w378115722,Училище монтажных и специальных строительных работ №31,college,Минск,Партизанский район,,,w378115722,53.8824558662375
n3080538854,Белфарм,pharmacy,Минск,Центральный район,улица Максима Богдановича,27,n3080538854,53.9103579
w379553319,Гимназия №25,school,Минск,Заводской район,,,w379553319,53.8464118592529
w334984097,д/с №376,kindergarten,Минск,Советский район,,,w334984097,53.9300103594669
w330228448,СШ №109,school,Минск,Заводской район,,,w330228448,53.8678270767115
n1870460927,Столовая,cafe,Минск,Ленинский район,,,n1870460927,53.8968094
n3949252158,Мелисса,cafe,Минск,Московский район,,,n3949252158,53.8615106
n674944601,Собрание,restaurant,Минск,Московский район,,,n674944601,53.8974363
n2628620702,Аптека N31,pharmacy,Минск,Советский район,,,n2628620702,53.9197032
